sample_number	Run230316_R1	Run230316_R2	Run230322_R1	Run230322_R2	Run230323_R1	Run230323_R2
21	21_S21_R1_001_Run230316.fastq.gz	21_S21_R2_001_Run230316.fastq.gz	21_S21_R1_001_Run230322.fastq.gz	21_S21_R2_001_Run230322.fastq.gz	21_S21_R1_001_Run230323.fastq.gz	21_S21_R2_001_Run230323.fastq.gz
22	22_S22_R1_001_Run230316.fastq.gz	22_S22_R2_001_Run230316.fastq.gz	22_S22_R1_001_Run230322.fastq.gz	22_S22_R2_001_Run230322.fastq.gz	22_S22_R1_001_Run230323.fastq.gz	22_S22_R2_001_Run230323.fastq.gz
23	23_S23_R1_001_Run230316.fastq.gz	23_S23_R2_001_Run230316.fastq.gz	23_S23_R1_001_Run230322.fastq.gz	23_S23_R2_001_Run230322.fastq.gz	23_S23_R1_001_Run230323.fastq.gz	23_S23_R2_001_Run230323.fastq.gz
24	24_S24_R1_001_Run230316.fastq.gz	24_S24_R2_001_Run230316.fastq.gz	24_S24_R1_001_Run230322.fastq.gz	24_S24_R2_001_Run230322.fastq.gz	24_S24_R1_001_Run230323.fastq.gz	24_S24_R2_001_Run230323.fastq.gz
25	25_S25_R1_001_Run230316.fastq.gz	25_S25_R2_001_Run230316.fastq.gz	25_S25_R1_001_Run230322.fastq.gz	25_S25_R2_001_Run230322.fastq.gz	25_S25_R1_001_Run230323.fastq.gz	25_S25_R2_001_Run230323.fastq.gz
26	26_S26_R1_001_Run230316.fastq.gz	26_S26_R2_001_Run230316.fastq.gz	26_S26_R1_001_Run230322.fastq.gz	26_S26_R2_001_Run230322.fastq.gz	26_S26_R1_001_Run230323.fastq.gz	26_S26_R2_001_Run230323.fastq.gz
27	27_S27_R1_001_Run230316.fastq.gz	27_S27_R2_001_Run230316.fastq.gz	27_S27_R1_001_Run230322.fastq.gz	27_S27_R2_001_Run230322.fastq.gz	27_S27_R1_001_Run230323.fastq.gz	27_S27_R2_001_Run230323.fastq.gz
28	28_S28_R1_001_Run230316.fastq.gz	28_S28_R2_001_Run230316.fastq.gz	28_S28_R1_001_Run230322.fastq.gz	28_S28_R2_001_Run230322.fastq.gz	28_S28_R1_001_Run230323.fastq.gz	28_S28_R2_001_Run230323.fastq.gz
29	29_S29_R1_001_Run230316.fastq.gz	29_S29_R2_001_Run230316.fastq.gz	29_S29_R1_001_Run230322.fastq.gz	29_S29_R2_001_Run230322.fastq.gz	29_S29_R1_001_Run230323.fastq.gz	29_S29_R2_001_Run230323.fastq.gz
30	30_S30_R1_001_Run230316.fastq.gz	30_S30_R2_001_Run230316.fastq.gz	30_S30_R1_001_Run230322.fastq.gz	30_S30_R2_001_Run230322.fastq.gz	30_S30_R1_001_Run230323.fastq.gz	30_S30_R2_001_Run230323.fastq.gz
31	31_S31_R1_001_Run230316.fastq.gz	31_S31_R2_001_Run230316.fastq.gz	31_S31_R1_001_Run230322.fastq.gz	31_S31_R2_001_Run230322.fastq.gz	31_S31_R1_001_Run230323.fastq.gz	31_S31_R2_001_Run230323.fastq.gz
32	32_S32_R1_001_Run230316.fastq.gz	32_S32_R2_001_Run230316.fastq.gz	32_S32_R1_001_Run230322.fastq.gz	32_S32_R2_001_Run230322.fastq.gz	32_S32_R1_001_Run230323.fastq.gz	32_S32_R2_001_Run230323.fastq.gz
33	33_S33_R1_001_Run230316.fastq.gz	33_S33_R2_001_Run230316.fastq.gz	33_S33_R1_001_Run230322.fastq.gz	33_S33_R2_001_Run230322.fastq.gz	33_S33_R1_001_Run230323.fastq.gz	33_S33_R2_001_Run230323.fastq.gz
